territory,building_type,osmid,coord,distance,rise,fall
Deusto,amenity_place_of_worship,W185205678,"(43.270495984069676, -2.9536808799959586)",23.31,4.49999999998019,0.0
Deusto,amenity_school,W248684621,"(43.27026384014726, -2.9519081118250723)",180.889,4.999999999950475,0.0
Deusto,amenity_arts_centre,N12087072670,"(43.2699399, -2.9504322)",185.138,4.999999999950472,0.0
Deusto,tourism_hostel,N3004608569,"(43.2687748, -2.9545458)",243.933,0.0,6.9999999999950475
Deusto,amenity_theatre,N10315485009,"(43.2718672, -2.9532544)",268.42999999999995,15.5,0.0
Deusto,amenity_school,W185205751,"(43.26985222807176, -2.955056771945497)",378.71000000000004,7.999999999950475,11.499999999980192
Deusto,amenity_school,N1759584097,"(43.2722245, -2.9510542)",394.13100000000003,15.499999999965336,1.0000000000594262
Deusto,railway_subway_entrance,N652111388,"(43.2705875, -2.9494092)",419.02,13.000000000000004,4.999999999975241
Deusto,amenity_police,W185205676,"(43.2730320456833, -2.9532225738516544)",442.02,25.50000000002972,3.467093279141409e-11
Deusto,amenity_arts_centre,N4254035917,"(43.2686591, -2.9494622)",452.769,4.000000000044572,6.000000000054477
Deusto,shop_mall,N4262153026,"(43.2711079, -2.9487353)",471.906,13.000000000019806,0.0
Deusto,shop_mall,W174293196,"(43.27145723476136, -2.9487516219122725)",471.906,13.000000000019806,0.0
Deusto,amenity_library,N10308512109,"(43.2723012, -2.9505157)",479.47100000000006,15.49999999996534,2.5000000000693348
Deusto,railway_subway_entrance,N571805608,"(43.2718219, -2.9494558)",492.79800000000006,14.499999999910859,0.0
Deusto,amenity_library,N10575964741,"(43.2724615, -2.9507625)",499.79799999999994,35.50000000000001,3.466382736405649e-11
Deusto,amenity_school,W185205752,"(43.2684144593636, -2.9486194979724067)",508.267,4.9999999999504805,8.499999999925715
Deusto,railway_subway_entrance,N4952944847,"(43.2718668, -2.9487299)",555.964,17.49999999991086,0.0
